input,output
1.0000027,9.5999996e-05
1.0000027,9.5999996e-05
1.0000027,0.000144
1.0000027,0.000624
1.0000027,0.001056
1.0000027,0.001248
1.0000027,0.000576
1.0000027,0.0030719999
1.0000027,0.0031680001
1.0000027,0.0031680001
0.9999696,0.004848
1.0001512,0.005568
1.0021931,0.0075839995
1.0023625,0.008688
1.0027915,0.008112
1.0016915,0.011232
1.001899,0.0125279995
1.0020332,0.013824001
1.0029947,0.015024001
1.0029663,0.018288001
1.0040632,0.018816
1.0062506,0.020496001
1.0070925,0.024192
1.0081291,0.025392
1.0116136,0.027168
1.010932,0.029904
1.0119213,0.034176
1.0130191,0.035423998
1.0168312,0.038112
1.0185598,0.039936
1.0190595,0.041424
1.0198785,0.046752
1.020905,0.047856
1.0226927,0.052704
1.0253078,0.054336
1.0259378,0.0588
1.0297323,0.060432002
1.0318457,0.064848
1.0354608,0.067776
1.0384569,0.072144
1.0424782,0.074688
1.0458672,0.07848
1.0475584,0.083712
1.0482311,0.086976
1.0508885,0.090144
1.0526285,0.095328
1.0558486,0.098015994
1.059004,0.10344
1.0635195,0.107424
1.0681944,0.111792006
1.0719628,0.115247995
1.07613,0.119664
1.0805018,0.124752
1.084253,0.128208
1.0902562,0.1332
1.0937272,0.138048
1.0994374,0.142464
1.1005633,0.14712
1.10616,0.151584
1.1120883,0.15672
1.1172781,0.162192
1.1199058,0.166896
1.1253318,0.17145601
1.1315976,0.176928
1.1369656,0.181536
1.1433315,0.187632
1.1525544,0.19276801
1.1596634,0.197376
1.16443,0.202704
1.1693057,0.20836799
1.178061,0.213024
1.183589,0.21830401
1.1903011,0.22281599
1.1969826,0.22953601
1.2026693,0.235728
1.2157457,0.24033602
1.2200943,0.24691202
1.2264783,0.252384
1.2351389,0.257952
1.2417068,0.26256
1.2473727,0.269232
1.2547432,0.274416
1.2620088,0.280704
1.2709956,0.28584
1.279409,0.29169598
1.2857577,0.296976
1.2941285,0.303504
1.3003603,0.309648
1.3098973,0.313968
1.3176457,0.319968
1.3241061,0.325488
1.3301895,0.331776
1.3363878,0.33811203
1.3422306,0.34296
1.3483701,0.34824
1.3533711,0.355728
1.35708,0.359808
1.3658167,0.36672
1.3712156,0.37190402
1.3735201,0.37848002
1.3790034,0.38352
1.3852383,0.38904
1.3905991,0.395472
1.394511,0.400128
1.4015938,0.40713602
1.4035608,0.411408
1.4090043,0.41822404
1.4145466,0.423456
1.4178506,0.42863998
1.4232665,0.43516803
1.428907,0.43963197
1.4321846,0.44548798
1.4347985,0.449808
1.4367863,0.456
1.4413822,0.46272
1.444391,0.46747202
1.4486446,0.47376
1.4521617,0.478128
1.4558071,0.48302403
1.4608703,0.488448
1.4614233,0.4944
1.46512,0.498672
1.4708912,0.50457597
1.4742337,0.50976
1.4751213,0.51504
1.4789598,0.519744
1.4782999,0.524544
1.4801947,0.528864
1.4825096,0.53385603
1.4845934,0.53808
1.4853873,0.543168
1.4889914,0.549168
1.490609,0.552864
1.4905502,0.557616
1.4928432,0.5628
1.4932586,0.56707203
1.4949212,0.571296
1.4962213,0.575184
1.4972492,0.58012795
1.4981624,0.58353597
1.499284,0.588624
1.5011166,0.591984
1.5022062,0.59664
1.5035049,0.600768
1.5017465,0.603648
1.503601,0.60744
1.5060487,0.611904
1.5086496,0.61464
1.509996,0.618672
1.5110728,0.62136
1.5131453,0.625008
1.5161307,0.62952
1.5152767,0.63302404
1.5161706,0.635616
1.5164338,0.638304
1.5175954,0.64103997
1.5197119,0.64483196
1.5179353,0.64756805
1.516771,0.65088
1.5178663,0.654048
1.5173482,0.65736
1.5174965,0.65952003
1.5191416,0.661872
1.5191809,0.663024
1.5183271,0.66528
