input,output
1.0000001,0.0
1.0000001,4.7999998e-05
1.0000001,0.00019199999
1.0000001,0.001344
1.0000001,0.001776
1.0000001,0.0026399998
1.0000001,0.003408
1.0000001,0.004464
1.0000001,0.00552
1.0000001,0.0065760002
1.0000466,0.0084
0.99922913,0.009552
1.0000468,0.011328
1.0006125,0.014160001
0.9994483,0.017184
1.0012236,0.019152
1.0028336,0.021072
1.0025676,0.024336
1.004207,0.028176
1.0068327,0.029760001
1.0062543,0.033648003
1.0089743,0.037488002
1.0091203,0.040128
1.0121665,0.044784
1.0161443,0.048623998
1.0199965,0.051503997
1.0269668,0.056496
1.0310993,0.060768
1.0331229,0.065136
1.0365723,0.069312
1.0407108,0.074208
1.044665,0.078959994
1.0497868,0.083856
1.0552281,0.089808
1.0613748,0.094416
1.0663515,0.099744
1.0716684,0.10665601
1.0773935,0.111648
1.0831054,0.118319996
1.0900707,0.12412801
1.0975398,0.12950401
1.1055943,0.136224
1.1152327,0.142272
1.1238049,0.1488
1.1332397,0.155232
1.1400123,0.161664
1.1544533,0.169152
1.1653128,0.17553599
1.178503,0.18288
1.192233,0.189696
1.2024769,0.19728
1.2157689,0.20481598
1.2246073,0.212784
1.2358391,0.219744
1.2479377,0.22728
1.258576,0.23548798
1.2716646,0.243552
1.2854412,0.250656
1.2981075,0.258624
1.3128961,0.267504
1.3286643,0.275616
1.3441942,0.283824
1.3610767,0.291888
1.3778517,0.300336
1.3944386,0.30854398
1.4106586,0.317376
1.4229604,0.32472
1.4352711,0.3336
1.4504491,0.343344
1.459106,0.350976
1.471686,0.360096
1.4833593,0.36916798
1.4967989,0.37776002
1.5122678,0.38726398
1.5263743,0.395472
1.5396676,0.40449598
1.5554975,0.41342402
1.5702044,0.422736
1.5868531,0.431808
1.6030854,0.44087997
1.6188891,0.448944
1.63431,0.458592
1.647641,0.46761602
1.662098,0.47673598
1.6718583,0.485904
1.6832262,0.4944
1.6932323,0.504048
1.6993823,0.51292795
1.708228,0.521712
1.7172809,0.530688
1.7246071,0.540048
1.7317996,0.54864
1.7381788,0.557856
1.7458106,0.56692797
1.7520106,0.575712
1.7597578,0.58344
1.7680879,0.593232
1.7722293,0.602304
1.7785213,0.610512
1.7809244,0.61944
1.7863507,0.627984
1.7893089,0.63633597
1.7943314,0.645216
1.798318,0.65352005
1.8013158,0.662064
1.8055542,0.66988796
1.8111849,0.67852795
1.8173708,0.68630403
1.8236113,0.69508797
1.8238873,0.70358396
1.8269172,0.710688
1.8292557,0.71856
1.8332144,0.72648
1.8353531,0.73416
1.8383058,0.74222404
1.841619,0.74942404
1.845431,0.75648
1.8495812,0.764256
1.8522316,0.77121603
1.8545732,0.77817595
1.8571776,0.784992
1.8596725,0.791664
1.861224,0.799248
1.8625851,0.80539197
1.8649979,0.81211203
1.8651835,0.81935996
1.8662344,0.82535994
1.8686868,0.83145595
1.8696773,0.837888
1.8732855,0.84403205
1.8757051,0.849792
1.8783413,0.854784
1.8816617,0.861408
1.8833479,0.86664003
1.8866955,0.87124807
1.8879933,0.87667197
1.8895056,0.881712
1.8895656,0.88684803
1.8927007,0.890832
1.89771,0.89664006
1.8970399,0.90153605
1.8970189,0.90422404
1.8992621,0.908832
1.8994133,0.913296
1.9003737,0.91636795
1.8997458,0.920112
1.9009262,0.923232
1.902878,0.92649597
1.9019587,0.93033606
1.9020097,0.93326396
1.9035388,0.935856
1.9023331,0.93864006
1.9005895,0.942192
1.9023976,0.94468796
1.9013952,0.94684803
1.8995311,0.94833606
1.8983094,0.95006394
1.8954545,0.952512
1.8966845,0.954096
1.8928747,0.95505595
1.8939224,0.956304
1.8928124,0.956928
1.8904982,0.95726395
1.8899769,0.9588
1.8878844,0.959712
1.8862166,0.95923203
1.8825697,0.95932806
1.8845952,0.960096
1.8869526,0.96019197
1.8861866,0.959808
1.8870007,0.95832
1.8828788,0.95755196
1.8798971,0.95832
1.877356,0.95592004
1.8742548,0.95659196
1.8724362,0.95505595
1.8705561,0.953184
1.866186,0.95064
1.8666325,0.9492481
1.8651825,0.94655997
1.8652954,0.94425595
1.860757,0.943392
1.8604726,0.94084805
1.86052,0.93672
1.857049,0.933792
1.8542347,0.93144006
1.8522098,0.929376
1.8517321,0.926112
1.8474503,0.921216
1.8454866,0.91872
1.8419293,0.914304
1.8387643,0.910272
1.8347131,0.90604806
1.8354179,0.90196794
1.8317311,0.89798397
1.8275803,0.89472
1.8242654,0.888432
1.8209745,0.884208
1.8174129,0.87912
1.8150395,0.873888
1.8084052,0.86904
1.8047895,0.86328
1.8021413,0.857424
1.800236,0.852
1.7976812,0.847248
1.7950894,0.84
1.7902368,0.83457595
1.7869116,0.82728
1.7855883,0.821472
1.7796715,0.81504
1.7760988,0.808704
1.773131,0.80323195
1.7707927,0.794976
1.7691076,0.78897595
1.7649938,0.781392
1.7659231,0.774336
1.7633698,0.767376
1.7625312,0.76089597
1.7594668,0.75336003
1.7612839,0.744672
1.7590672,0.73708797
1.7585845,0.730368
1.754787,0.722304
1.7517141,0.713904
1.7488556,0.70607996
1.7480897,0.698256
1.7453907,0.69023997
1.7424318,0.681456
1.7430481,0.674112
1.7403296,0.664992
1.740215,0.657264
1.7382567,0.648192
1.7337172,0.639936
1.7350198,0.630864
1.7329804,0.623328
1.7325721,0.61387205
1.7327816,0.60518396
1.7314528,0.59687996
1.7296947,0.587856
1.7289445,0.579168
1.7261391,0.570144
1.7260628,0.561168
1.7241592,0.55248
1.7237374,0.543648
1.7187485,0.53496003
1.7163087,0.52536
1.7162299,0.516576
1.7119924,0.507312
1.7072394,0.49886402
1.7020403,0.48940802
1.6972445,0.480144
1.6919382,0.471552
1.6880134,0.462624
1.6820809,0.45321602
1.6776694,0.444336
1.6690403,0.43507203
1.665196,0.42624
1.6607835,0.41683197
1.6541778,0.408912
1.652441,0.39936
1.645544,0.39048
1.6349331,0.381504
1.6244545,0.37272
1.6182622,0.3648
1.6113207,0.354816
1.6045796,0.345936
1.5962112,0.337488
1.5896454,0.32928002
1.5820138,0.321312
1.5756485,0.312576
1.5666585,0.303024
1.55982,0.295344
1.5493231,0.287232
1.545072,0.27868798
1.5360808,0.270192
1.527299,0.262848
1.5156592,0.2544
1.5045534,0.246768
1.4969636,0.239184
1.4899354,0.229968
1.4838465,0.22358401
1.4772749,0.214704
1.4706069,0.20769599
1.4624877,0.20064001
1.4540521,0.193536
1.4472064,0.18624
1.4417622,0.178992
1.4334658,0.17208001
1.4281087,0.165408
1.4220469,0.158592
1.416801,0.15216
1.4085013,0.14471999
1.4052979,0.138528
1.3956608,0.133104
1.3869015,0.12672
1.3807034,0.12048001
1.3764873,0.114240006
1.3690951,0.109488
1.3624653,0.10296
1.3573587,0.097344
1.3503445,0.091776
1.3448484,0.086256
1.3408922,0.082464
1.3321935,0.076608
1.325915,0.072144
1.3208517,0.067584
1.3145909,0.062832
1.3080217,0.057744
