input,output
0.9999982,4.7999998e-05
0.9999982,0.0061439998
0.9999982,0.0107040005
0.9999982,0.017568
0.9999982,0.022416001
0.9999982,0.029232001
0.9999982,0.034032002
0.9999982,0.040032
0.9999982,0.045888
0.9999982,0.051792
1.0000958,0.056928
1.0110593,0.062784
1.0191313,0.069072
1.0231745,0.074544
1.0280931,0.08016
1.0360154,0.086016
1.0453316,0.092208
1.04904,0.097632
1.0572327,0.10344
1.0640993,0.108912
1.0702844,0.115488
1.0805467,0.120912
1.0872554,0.126864
1.0924276,0.132528
1.0966808,0.137952
1.1008104,0.14337601
1.1037128,0.14932801
1.1082468,0.15489599
1.1115217,0.161232
1.1160516,0.166512
1.1222208,0.172464
1.1290282,0.178896
1.1368984,0.184128
1.1453357,0.18955201
1.1516526,0.1956
1.1602557,0.201408
1.1669999,0.20736001
1.1738119,0.21273601
1.1801684,0.21768
1.1863383,0.223776
1.1958144,0.23068799
1.2055645,0.23611201
1.2139624,0.24067199
1.2230837,0.247056
1.2331843,0.253296
1.2440951,0.258864
1.2534086,0.265056
1.26225,0.271104
1.268772,0.276288
1.2774724,0.281568
1.2869942,0.28761598
1.2962579,0.293808
1.3058889,0.3
1.3165407,0.305472
1.3275129,0.310704
1.3399948,0.316944
1.3492101,0.322224
1.3601714,0.32808
1.370661,0.333696
1.3778138,0.339744
1.3912833,0.34511998
1.4030633,0.351264
1.4129585,0.356736
1.4240931,0.363024
1.434888,0.368112
1.4461144,0.37478402
1.45518,0.379632
1.4678254,0.385824
1.4748751,0.391104
1.4884712,0.39758402
1.4932868,0.403056
1.4997237,0.408864
1.506585,0.414336
1.5153588,0.42033598
1.5222585,0.42571202
1.5288157,0.432
1.5374241,0.43651202
1.5445904,0.442752
1.5532922,0.44923198
1.5629516,0.45432
1.5696542,0.46099198
1.5762367,0.465744
1.5847338,0.47112003
1.5917071,0.47683197
1.5987743,0.48336002
1.6046423,0.48772797
1.6121209,0.49425602
1.6204776,0.500928
1.6256744,0.507648
1.633629,0.511824
1.6400342,0.51868796
1.6452105,0.52478397
1.6513553,0.529968
1.659254,0.535296
1.6624674,0.540576
1.6674931,0.54657596
1.674069,0.55272
1.6790085,0.557808
1.6853914,0.563808
1.6924473,0.57038397
1.6994686,0.576192
1.7042388,0.58103997
1.7079839,0.58742404
1.7129989,0.5928
1.7165216,0.59798396
1.7219706,0.6048
1.726102,0.61003196
1.7281557,0.61608
1.7335495,0.62207997
1.7390143,0.628128
1.743997,0.633744
1.747506,0.639504
1.7539908,0.644928
1.7571274,0.650304
1.7611312,0.656352
1.7643394,0.66182405
1.7668539,0.668352
1.7701143,0.673824
1.7743667,0.68001604
1.7774228,0.685104
1.7794553,0.691392
1.7810588,0.696336
1.7836593,0.702384
1.785446,0.708768
1.787598,0.71462405
1.7894856,0.71966404
1.7912184,0.725856
1.7962424,0.73142403
1.7979853,0.73727995
1.803005,0.743136
1.8031237,0.748512
1.8035642,0.754368
1.8026736,0.75931203
1.8062234,0.765312
1.8077687,0.770736
1.8083255,0.777936
1.8115,0.783024
1.8123646,0.789312
1.8148283,0.7944
1.815916,0.800448
1.8168049,0.80592
1.8177738,0.812016
1.8202229,0.81777596
1.8219234,0.82382405
1.8230268,0.8292
1.8243842,0.83438396
1.8276545,0.84086394
1.8294834,0.846672
1.8331345,0.852
1.8332307,0.858
1.8356446,0.86404806
1.8381217,0.869376
1.8368901,0.875856
1.8407956,0.88132805
1.8419602,0.88718396
1.8434111,0.892416
1.8437319,0.89812803
1.8449185,0.904368
1.8477186,0.909552
1.8498839,0.915696
1.8470006,0.920784
1.8534348,0.92735994
1.8582636,0.93235195
1.8597647,0.9384
1.8622158,0.944352
1.8616093,0.950592
1.8631434,0.956064
1.8642976,0.95812804
1.8625584,0.952656
1.858193,0.94627196
1.8519498,0.940704
1.8422105,0.935616
1.8357415,0.92942405
1.8281533,0.92385596
1.8213727,0.91752005
1.815946,0.91248
1.8097222,0.906144
1.8006967,0.90124804
1.7947621,0.89448
1.7865735,0.88967997
1.7806622,0.88315195
1.7750889,0.87744004
1.7667927,0.871776
1.7674221,0.86592
1.7610903,0.86087996
1.7553755,0.85454404
1.7508417,0.84888
1.7469444,0.842352
1.7429526,0.837312
1.7405816,0.831744
1.7371298,0.825888
1.7331018,0.820176
1.7291776,0.8148
1.7258354,0.808608
1.7273922,0.802704
1.7256535,0.7968
1.7222812,0.79104
1.7206603,0.785088
1.7187405,0.779568
1.7161279,0.77448
1.7136065,0.768192
1.7143456,0.762816
1.711922,0.7572
1.7100822,0.750528
1.7074318,0.745776
1.7051637,0.739632
1.7035569,0.733344
1.7014542,0.72753596
1.7003835,0.72187203
1.699064,0.71592003
1.6982375,0.710544
1.6970639,0.70526403
1.6966133,0.6996
1.6956737,0.69292796
1.6950564,0.68721604
1.6949161,0.681792
1.6901623,0.677136
1.6906269,0.669456
1.6953263,0.663984
1.6923294,0.658656
1.6927024,0.65256
1.690529,0.6468
1.6889582,0.64128
1.6873534,0.636288
1.6870762,0.630048
1.6850806,0.624528
1.6825099,0.61847997
1.6810164,0.612432
1.679609,0.60657597
1.6774181,0.601056
1.6744943,0.596352
1.6720175,0.5892
1.6728194,0.58344
1.6726902,0.578304
1.6731634,0.57192004
1.6718324,0.566016
1.6685089,0.560448
1.6673379,0.555408
1.660978,0.549456
1.658382,0.54326403
1.6568654,0.53836805
1.6571349,0.53260803
1.6515126,0.52584
1.6484884,0.520512
1.6456635,0.515328
1.6420366,0.508752
1.6372803,0.503952
1.6356725,0.497568
1.6324495,0.491808
1.629351,0.485904
1.6279681,0.480816
1.6215341,0.47366402
1.6213721,0.469248
1.6187041,0.462864
1.618589,0.45647997
1.613034,0.45134398
1.60538,0.445152
1.603029,0.439104
1.599112,0.43593597
1.594481,0.42796803
1.5922012,0.42177597
1.5879214,0.416592
1.585282,0.410304
1.581024,0.40488002
1.5784061,0.399408
1.5741757,0.393408
1.5706354,0.387456
1.5688915,0.38208002
1.5666897,0.37583998
1.5651025,0.37056002
1.5603669,0.36446398
1.5574005,0.358944
1.55208,0.353232
1.5448374,0.347568
1.5413535,0.342096
1.5361176,0.33633602
1.529194,0.33
1.5243027,0.324384
1.5204531,0.318768
1.513932,0.312528
1.5115898,0.307968
1.504803,0.3012
1.4995995,0.296208
1.4939713,0.29006398
1.4907116,0.284448
1.484321,0.278544
1.4774446,0.274224
1.4726865,0.26712
1.4687687,0.261744
1.4653022,0.255984
1.4552909,0.249408
1.4461508,0.244272
1.4385217,0.238848
1.4308745,0.23179199
1.4240371,0.22728
1.4160764,0.221328
1.4089224,0.21460801
1.4062161,0.209568
1.4002721,0.202992
1.394053,0.198048
1.3851074,0.19248
1.3775059,0.18575999
1.3697207,0.180384
1.3574668,0.175248
1.3494693,0.168528
1.3394605,0.163584
1.3337817,0.157488
1.3280534,0.152016
1.3223001,0.145872
1.3150105,0.140304
1.30887,0.134064
1.3014888,0.128976
1.2986659,0.123024
1.2887963,0.117359996
1.2818564,0.11092801
1.2761875,0.106272
1.2720158,0.0996
1.2689712,0.094128005
1.265232,0.089088
1.2578403,0.082224
1.251716,0.07704
1.2477233,0.0708
1.242666,0.065232
1.2405211,0.059376
1.2372369,0.053856
1.230557,0.048
1.2269244,0.042864002
1.2226431,0.036144
1.2185425,0.030864002
1.2118717,0.025488
1.2067378,0.019968
1.201962,0.01392
1.1962098,0.00792
1.1956674,0.001776
1.1939896,0.0043200003
1.1906313,0.0084
1.1862096,0.014736
1.1814486,0.021312
1.1759337,0.025920002
1.1755966,0.03216
1.1764439,0.0384
1.1753522,0.043728
1.1741939,0.049488
1.170803,0.055056
1.1683115,0.061823998
1.1689134,0.067967996
1.1676456,0.073152006
1.1679474,0.079056
1.1689368,0.084479995
1.1692073,0.090288
1.1681565,0.096432
1.1683238,0.102336
1.1673517,0.107328005
1.1689917,0.11356801
1.1714199,0.119136
1.1743774,0.124943994
1.1777514,0.131136
1.183997,0.136944
1.1895908,0.14174399
1.1961272,0.148128
1.2021487,0.153888
1.2095045,0.1596
1.2151088,0.16511999
1.2208976,0.170544
1.2239698,0.17620799
1.2289145,0.18297601
1.2313234,0.18816
1.2371427,0.1932
1.2361395,0.200304
1.2465248,0.20471999
1.2482733,0.211488
1.2496653,0.217248
1.2513103,0.223008
1.2571391,0.228048
1.2635988,0.234192
1.2693863,0.24
1.2757252,0.245472
1.2805924,0.25128
1.2856243,0.25737602
1.2899415,0.262704
1.2962205,0.268368
1.3042312,0.27451202
1.3121188,0.280128
1.3202951,0.285552
1.3292353,0.292368
1.3379282,0.29793602
1.3461,0.30422398
1.3526175,0.30912
1.3586497,0.3144
1.3649737,0.32016
1.3720264,0.325728
1.3804636,0.33196798
1.3910462,0.337536
1.3994104,0.343968
1.4074453,0.349632
1.4173032,0.35544
1.4252898,0.361104
1.4342738,0.366912
1.4429783,0.372096
1.4503084,0.378048
1.4582204,0.383568
1.4645015,0.39
1.4737271,0.39628798
1.4804657,0.400704
1.4857507,0.406704
1.4967086,0.41208
1.5046707,0.41832003
1.5110391,0.42456
1.5167686,0.429504
1.5245684,0.43536
1.5280877,0.44097596
1.5367577,0.447648
1.5413005,0.453456
1.550796,0.45873597
1.5584773,0.463536
1.5671473,0.470592
1.5754365,0.476688
1.5823017,0.481824
1.5885305,0.48782402
1.5983819,0.493536
1.6006023,0.498576
1.6078502,0.505488
1.6144447,0.50976
1.6208104,0.51676804
1.6267468,0.521712
