input,output
1.0000021,-9.5999996e-05
1.0000021,-0.000144
1.0000021,4.7999998e-05
1.0000021,4.7999998e-05
1.0000021,-0.00086400006
1.0000021,-0.003696
1.0000021,-0.000624
1.0000021,-0.000144
1.0000021,0.00043200003
1.0000021,0.002016
1.0000076,0.001488
1.0020878,0.002112
1.0025067,0.002352
1.0034348,0.003408
1.0035237,0.003408
1.0035408,0.003264
1.004007,0.004608
1.0044222,0.005376
1.0041538,0.005664
1.0033307,0.0070080003
1.0037177,0.0076800003
1.0020611,0.008064
1.002614,0.008688
1.002874,0.009455999
1.0015395,0.010032
1.0019364,0.011232
1.000433,0.01224
1.0014067,0.013103999
1.0038936,0.01464
1.0028206,0.015888
1.0029653,0.016224
1.0030881,0.017280001
1.0038365,0.019776
1.0025628,0.020688001
1.0044932,0.021504
1.0040864,0.023088
1.0032417,0.024047999
1.0011373,0.025488
1.002467,0.02736
1.0024154,0.028032001
1.0050015,0.029711999
1.0056028,0.030432
1.0068802,0.0336
1.0069213,0.033983998
1.0075941,0.034895997
1.0073,0.037488002
1.0087209,0.039648
1.0101091,0.040944
1.0107896,0.042864002
1.0117102,0.045167997
1.0146863,0.044544
1.0157149,0.048384
1.0149134,0.050448
1.0139102,0.050928
1.0144852,0.052415997
1.0170382,0.05592
1.0197898,0.056976
1.0204291,0.059088
1.0200982,0.06168
1.0207914,0.063888
1.0222901,0.063984
1.0233264,0.067344
1.0240893,0.070368
1.0255668,0.071615994
1.0275412,0.0732
1.0289078,0.076848
1.028854,0.077856
1.0297515,0.080064
1.0324419,0.082320005
1.0346279,0.0852
1.0345777,0.086112
1.0354427,0.089184
1.0342592,0.091824
1.0363019,0.094224
1.0383105,0.096864
1.0390726,0.100704
1.0415592,0.103056006
1.0433078,0.105119996
1.0441021,0.107664004
1.0455307,0.110304005
1.0481124,0.112271994
1.0503509,0.115008
1.0537025,0.11707199
1.0559287,0.120432
1.0585229,0.123312
1.0609735,0.12456
1.0641344,0.128832
1.0659733,0.13128
1.0674042,0.13396801
1.0704728,0.137088
1.0726675,0.13944
1.0759407,0.142464
1.0767076,0.145152
1.0768415,0.14808
1.0793039,0.15191999
1.0816747,0.15489599
1.0838689,0.156912
1.0860497,0.160224
1.089432,0.163344
1.0899051,0.165216
1.0943048,0.169488
1.0975546,0.172368
1.1001616,0.17424001
1.1027654,0.178272
1.1037536,0.181632
1.1080562,0.18489599
1.1122077,0.187728
1.1160682,0.191184
1.1200309,0.19363199
1.1239609,0.19608
1.1272918,0.200112
1.1305065,0.202992
1.1345601,0.206544
1.1330415,0.20971201
1.137065,0.21192
1.141742,0.21638401
1.1460693,0.21921599
1.1527631,0.222624
1.1570953,0.22531201
1.1624777,0.22814399
1.1637775,0.232656
1.1655129,0.235344
1.1710285,0.237552
1.1751975,0.241296
1.1781374,0.244224
1.1789123,0.24758402
1.1827614,0.250896
1.1853772,0.253728
1.1891179,0.25848
1.193533,0.261408
1.197259,0.26395202
1.2000489,0.269136
1.2037485,0.269856
1.2077338,0.274992
1.2140622,0.278256
1.2177962,0.280848
1.2206103,0.28377602
1.2221788,0.286176
1.2258914,0.291072
1.227227,0.293856
1.2320272,0.29808
1.2388542,0.30100802
1.2391819,0.30408
1.2435201,0.307344
1.2485106,0.310944
1.2534941,0.31348798
1.2561729,0.317328
1.2593687,0.320928
1.262987,0.32433602
1.2653967,0.327504
1.2697154,0.330288
1.2721295,0.332832
1.2759653,0.336432
1.2835093,0.339456
1.2844901,0.343728
1.2896279,0.346896
1.2900364,0.34910402
1.2953961,0.35256
1.293501,0.355344
1.2983956,0.35908797
1.3016696,0.36148798
1.3051702,0.364992
1.307964,0.368496
1.3111222,0.371568
1.3120023,0.375744
1.3150237,0.379152
1.3182652,0.381744
1.3205024,0.38544
1.3251424,0.387984
1.3267597,0.39096
1.3283365,0.393408
1.3293519,0.39672
1.3319652,0.401232
1.3355787,0.40353602
1.337246,0.40656
1.3406165,0.409392
1.3422394,0.41323197
1.3442179,0.41563198
1.3463467,0.419472
1.3483659,0.42187202
1.3521374,0.42432
1.3536221,0.42816
1.3563539,0.43032002
1.3591384,0.43272
1.3589213,0.435984
1.3604541,0.43953598
1.3620821,0.44208
1.3667588,0.44472003
1.3670084,0.44807997
1.3688219,0.450816
1.3703741,0.453552
1.3705117,0.456048
1.3718107,0.458448
1.3755753,0.4608
1.3768467,0.46401602
1.3766869,0.467232
1.3786075,0.46982402
1.3786808,0.472752
1.3803849,0.475104
1.3836288,0.47783998
1.3837688,0.48052797
1.3843744,0.482544
