input,output
0.9999984,9.5999996e-05
0.9999984,0.000144
0.9999984,9.5999996e-05
0.9999984,0.00024000001
0.9999984,0.000672
0.9999984,0.0014399999
0.9999984,0.001488
0.9999984,0.001248
0.9999984,0.0017280001
0.9999984,0.0036
0.9999973,0.003888
1.0014789,0.003984
0.9991853,0.005616
1.0002146,0.0072
1.0006733,0.0075839995
1.0003217,0.008448
0.9950518,0.009792
0.99770457,0.010319999
0.9997664,0.01272
1.0018734,0.012816001
1.0016387,0.014688
1.0024143,0.016991999
1.0053116,0.01752
1.0037777,0.020016
1.0041921,0.020784
0.99999076,0.021072
0.99912643,0.025536
1.0002931,0.028176
1.0020628,0.029183999
1.0016524,0.030864002
1.0011088,0.034176
1.0035479,0.035568
1.0046,0.038351998
1.0069283,0.039984
1.0099885,0.043056
1.0099481,0.045024
1.0101129,0.047904
1.0103778,0.05064
1.01299,0.054240003
1.0138074,0.055728003
1.0151492,0.059568
1.0164355,0.062256
1.0174046,0.064704
1.017961,0.06792
1.0206941,0.071856
1.0208582,0.074208
1.0235938,0.077616
1.024001,0.081216
1.0229522,0.083952
1.025091,0.088752
1.0271051,0.090959996
1.0319098,0.095664
1.0338104,0.097392
1.0345936,0.10176
1.0376277,0.10569599
1.0414906,0.10934399
1.0440096,0.114048
1.0481279,0.121056005
1.0502365,0.12196801
1.0507194,0.125328
1.0539527,0.130704
1.056265,0.134352
1.0562986,0.13776
1.058431,0.14323199
1.0623205,0.146928
1.0678703,0.15076801
1.0739383,0.15590401
1.0788151,0.159696
1.0826658,0.164592
1.0878788,0.169344
1.0927994,0.174144
1.0998687,0.178464
1.1064163,0.183456
1.1116289,0.186912
1.1183872,0.192432
1.1247982,0.196752
1.1314456,0.202992
1.1378603,0.206928
1.1431504,0.21273601
1.1481287,0.21820801
1.1510496,0.223152
1.1575676,0.22823998
1.1629419,0.232848
1.168625,0.237648
1.1752177,0.24336001
1.181816,0.248352
1.1883571,0.254064
1.1983234,0.259776
1.2035784,0.2652
1.2099639,0.271776
1.2186692,0.27552
1.2267777,0.281424
1.2321376,0.285696
1.2387674,0.29184
1.2468137,0.29793602
1.2538394,0.303792
1.2631612,0.30926397
1.2689071,0.314592
1.2806193,0.319776
1.2912662,0.32544
1.2974366,0.33148798
1.306833,0.337728
1.3157272,0.34353602
1.3250425,0.349296
1.3363637,0.354528
1.3472825,0.36048
1.3579804,0.365808
1.3677454,0.371472
1.3769636,0.378528
1.3865086,0.383904
1.3951418,0.38908798
1.4035357,0.396096
1.4110765,0.402432
1.4209988,0.407424
1.4282521,0.41303998
1.4292403,0.42
1.4381856,0.42624
1.4449171,0.43233597
1.4566461,0.438
1.4672433,0.443904
1.4769462,0.450192
1.4861276,0.457488
1.4962054,0.462048
1.5063404,0.46776
1.5166494,0.47438398
1.5259542,0.480384
1.537014,0.485952
1.5420197,0.492096
1.5510384,0.49852797
1.5584215,0.504624
1.5697749,0.510144
1.5744873,0.516144
1.5768173,0.520992
1.5800627,0.52756804
1.5861216,0.534432
1.5908439,0.53947204
1.5980421,0.545856
1.6035641,0.551472
1.6102644,0.55766404
1.6163698,0.564192
1.624479,0.569808
1.6301073,0.57585603
1.6386789,0.580944
1.6444528,0.586944
1.6514121,0.59352005
1.6583028,0.599568
1.6660755,0.604896
1.6669239,0.610752
1.6741518,0.616896
1.681449,0.622176
1.6835148,0.627456
1.6902897,0.63432
1.6978953,0.63945603
1.7004325,0.64536
1.7077125,0.651312
1.7161714,0.65664
1.7260748,0.661968
1.7304341,0.668544
1.7366358,0.67272
1.7405509,0.679392
1.7425679,0.683856
1.7434691,0.689088
1.7464772,0.69494396
1.7505808,0.700944
1.7552598,0.70574397
1.760106,0.711456
1.7614279,0.717024
1.7649419,0.721488
1.7684667,0.727392
