input,output
1.0000006,-0.000144
1.0000006,0.0
1.0000006,0.00792
1.0000006,0.011136
1.0000006,0.014256
1.0000006,0.01872
1.0000006,0.023136
1.0000006,0.026735999
1.0000006,0.03024
1.0000006,0.034560002
1.0000589,0.038544
1.0085269,0.041568
1.0154722,0.046128
1.0208051,0.04992
1.0264287,0.052896
1.0308918,0.057504
1.0346932,0.061823998
1.0369279,0.065232
1.0397773,0.068496004
1.0413394,0.073296
1.0439974,0.07704
1.047441,0.079679996
1.0508122,0.084479995
1.0553612,0.088128
1.0610279,0.09168
1.064345,0.095616
1.0672674,0.099648
1.0728439,0.10387199
1.0818167,0.107376
1.0902611,0.111264
1.0944803,0.114624
1.0990713,0.118752
1.1036772,0.12230401
1.10981,0.126
1.1137028,0.130128
1.1186234,0.13444799
1.1228606,0.138144
1.1263795,0.141936
1.1315551,0.1464
1.1373688,0.15
1.1401613,0.15408
1.1444359,0.15787199
1.1486812,0.160896
1.1527648,0.164736
1.1583234,0.168
1.1635776,0.17208001
1.1669402,0.17712
1.1724837,0.18096
1.1749601,0.184704
1.1854712,0.18854399
1.1902428,0.19151999
1.1928859,0.19550401
1.1972115,0.199248
1.2021828,0.20356801
1.2110474,0.20707199
1.219544,0.21144
1.2242563,0.215424
1.2302667,0.218448
1.2393038,0.223152
1.2471013,0.2268
1.2561688,0.230544
1.26283,0.23366399
1.2725548,0.23736002
1.2776215,0.24139199
1.2831014,0.246096
1.2886839,0.2496
1.2954041,0.25348797
1.3026646,0.256944
1.3079045,0.261264
1.3121079,0.264864
1.3179061,0.26808
1.3242877,0.271584
1.3293128,0.27576
1.3361026,0.280128
1.3429083,0.283824
1.3487502,0.28838402
1.3551273,0.291792
1.3611159,0.2952
1.367884,0.299568
1.3740689,0.303936
1.3817748,0.30758402
1.3894074,0.311376
1.4005288,0.31488
1.4075314,0.318192
1.4154772,0.321648
1.4238749,0.325872
1.4311016,0.33038402
1.4385542,0.333456
1.4478322,0.33768
1.4561439,0.340512
1.4644867,0.34651202
1.4748689,0.349584
1.4822795,0.353616
1.4885441,0.357504
1.4958078,0.36091202
1.5048757,0.364224
1.5134706,0.367824
1.5207552,0.372
1.5283512,0.375648
1.5390909,0.379344
1.5441364,0.38380802
1.5505087,0.387456
1.557203,0.391872
1.5608255,0.395856
1.5696905,0.399456
1.5815743,0.40291202
1.5913353,0.40684798
1.5995727,0.411264
1.6088128,0.41428798
1.6176773,0.41851202
1.6268095,0.42268798
1.6347377,0.426144
1.6411008,0.42998397
1.6469104,0.433296
1.6556842,0.43776
1.6645445,0.440832
1.6686729,0.445248
1.6765442,0.449136
1.6828618,0.453408
1.6853242,0.457104
1.692762,0.46041602
1.697565,0.46344
1.704231,0.468144
1.7105299,0.47222403
1.7182598,0.47558397
1.7224504,0.47923198
1.728231,0.48412797
1.7368586,0.486336
1.7404511,0.491616
1.747905,0.49526402
1.7538639,0.498144
1.7587842,0.50318396
1.7678765,0.506448
1.7707852,0.511536
1.7778344,0.51408
1.782334,0.518448
1.7866838,0.522096
1.79419,0.525648
1.7999593,0.52992004
1.8056215,0.533328
1.8103063,0.53779197
1.8166275,0.541344
1.8200397,0.544176
1.8259506,0.54892796
1.8302879,0.553392
1.83697,0.55598396
1.8421984,0.560304
1.8488576,0.56428796
1.8534219,0.567936
1.8540965,0.57216
1.8593583,0.576144
1.8639162,0.579264
1.8680017,0.58382404
1.8769488,0.58732796
1.8781675,0.591456
1.8844869,0.595488
1.888001,0.599184
1.8923286,0.60336
1.8995521,0.60648
1.9048853,0.610416
1.908454,0.61387205
1.9128166,0.618144
1.9166793,0.621888
1.9216979,0.625872
1.9295467,0.629376
1.9334612,0.633264
1.9372203,0.63672
1.9399271,0.63984
1.9425458,0.644448
1.9473429,0.648768
1.9479257,0.65217596
1.9524736,0.656928
1.9554286,0.66033596
1.9605047,0.66326404
1.962958,0.668208
1.9675565,0.671328
1.9670482,0.67473596
1.9725704,0.6792
1.9781934,0.68376
1.9803648,0.686496
1.9826454,0.69167995
1.9867827,0.69460803
1.9903646,0.69816
1.9938867,0.702432
1.9949404,0.706272
1.994844,0.709536
1.9975404,0.71448
2.0010295,0.718752
2.009119,0.72096
2.011978,0.7248
2.0124872,0.72921604
2.0149405,0.73281604
2.0151885,0.736224
2.0179276,0.74136
2.0248396,0.744912
2.0246022,0.748032
2.026314,0.752256
2.0279424,0.75571203
2.028651,0.760512
2.0297318,0.76464
2.0330908,0.76742405
2.035591,0.771888
2.0382361,0.775104
2.0438914,0.779808
2.0454185,0.782784
2.0493524,0.78744
2.0486531,0.79128
2.052086,0.794688
2.0536551,0.797472
2.0597973,0.802608
2.0615466,0.80688
2.067404,0.81067204
2.0689707,0.814224
2.0687613,0.817488
2.0747807,0.82175994
2.0774972,0.825408
2.079007,0.82824004
